RA,DA,RB,DB,R,id,participant_number
54,0,55,117,0,0,412729-412720-42950469
55,0,75,61,0,0,412729-412720-42950469
19,0,25,53,0,0,412729-412720-42950469
31,0,85,7,1,0,412729-412720-42950469
14,0,25,19,1,0,412729-412720-42950469
47,0,50,160,0,0,412729-412720-42950469
15,0,35,13,1,0,412729-412720-42950469
25,0,60,14,1,0,412729-412720-42950469
78,0,80,162,0,0,412729-412720-42950469
40,0,55,62,0,0,412729-412720-42950469
11,0,30,7,1,0,412729-412720-42950469
67,0,75,119,0,0,412729-412720-42950469
34,0,35,186,0,0,412729-412720-42950469
27,0,50,21,1,0,412729-412720-42950469
69,0,85,91,0,0,412729-412720-42950469
49,0,60,89,0,0,412729-412720-42950469
80,0,85,157,0,0,412729-412720-42950469
24,0,35,29,0,0,412729-412720-42950469
33,0,80,14,1,0,412729-412720-42950469
28,0,30,179,0,0,412729-412720-42950469
34,0,50,30,0,0,412729-412720-42950469
25,0,30,80,0,0,412729-412720-42950469
41,0,75,20,1,0,412729-412720-42950469
54,0,60,111,0,0,412729-412720-42950469
54,0,80,30,0,0,412729-412720-42950469
22,0,25,136,0,0,412729-412720-42950469
20,0,55,7,1,0,412729-412720-42950469
54,0,55,117,0,1,412729-412720-42978122
55,0,75,61,1,1,412729-412720-42978122
19,0,25,53,1,1,412729-412720-42978122
31,0,85,7,1,1,412729-412720-42978122
14,0,25,19,1,1,412729-412720-42978122
47,0,50,160,0,1,412729-412720-42978122
15,0,35,13,1,1,412729-412720-42978122
25,0,60,14,1,1,412729-412720-42978122
78,0,80,162,0,1,412729-412720-42978122
40,0,55,62,1,1,412729-412720-42978122
11,0,30,7,1,1,412729-412720-42978122
67,0,75,119,1,1,412729-412720-42978122
34,0,35,186,0,1,412729-412720-42978122
27,0,50,21,1,1,412729-412720-42978122
69,0,85,91,1,1,412729-412720-42978122
49,0,60,89,1,1,412729-412720-42978122
80,0,85,157,0,1,412729-412720-42978122
24,0,35,29,1,1,412729-412720-42978122
33,0,80,14,1,1,412729-412720-42978122
28,0,30,179,0,1,412729-412720-42978122
34,0,50,30,1,1,412729-412720-42978122
25,0,30,80,1,1,412729-412720-42978122
41,0,75,20,1,1,412729-412720-42978122
54,0,60,111,0,1,412729-412720-42978122
54,0,80,30,1,1,412729-412720-42978122
22,0,25,136,0,1,412729-412720-42978122
20,0,55,7,1,1,412729-412720-42978122
54,0,55,117,0,2,412729-412720-42947943
55,0,75,61,1,2,412729-412720-42947943
19,0,25,53,1,2,412729-412720-42947943
31,0,85,7,1,2,412729-412720-42947943
14,0,25,19,1,2,412729-412720-42947943
47,0,50,160,0,2,412729-412720-42947943
15,0,35,13,1,2,412729-412720-42947943
25,0,60,14,1,2,412729-412720-42947943
78,0,80,162,0,2,412729-412720-42947943
40,0,55,62,1,2,412729-412720-42947943
11,0,30,7,1,2,412729-412720-42947943
67,0,75,119,1,2,412729-412720-42947943
34,0,35,186,0,2,412729-412720-42947943
27,0,50,21,1,2,412729-412720-42947943
69,0,85,91,1,2,412729-412720-42947943
49,0,60,89,1,2,412729-412720-42947943
80,0,85,157,0,2,412729-412720-42947943
24,0,35,29,1,2,412729-412720-42947943
33,0,80,14,1,2,412729-412720-42947943
28,0,30,179,0,2,412729-412720-42947943
34,0,50,30,1,2,412729-412720-42947943
25,0,30,80,1,2,412729-412720-42947943
41,0,75,20,1,2,412729-412720-42947943
54,0,60,111,0,2,412729-412720-42947943
54,0,80,30,1,2,412729-412720-42947943
22,0,25,136,0,2,412729-412720-42947943
20,0,55,7,1,2,412729-412720-42947943
54,0,55,117,0,3,412729-412720-43152676
55,0,75,61,1,3,412729-412720-43152676
19,0,25,53,1,3,412729-412720-43152676
31,0,85,7,1,3,412729-412720-43152676
14,0,25,19,1,3,412729-412720-43152676
47,0,50,160,0,3,412729-412720-43152676
15,0,35,13,1,3,412729-412720-43152676
25,0,60,14,1,3,412729-412720-43152676
78,0,80,162,0,3,412729-412720-43152676
40,0,55,62,0,3,412729-412720-43152676
11,0,30,7,1,3,412729-412720-43152676
67,0,75,119,0,3,412729-412720-43152676
34,0,35,186,0,3,412729-412720-43152676
27,0,50,21,1,3,412729-412720-43152676
69,0,85,91,0,3,412729-412720-43152676
49,0,60,89,0,3,412729-412720-43152676
80,0,85,157,0,3,412729-412720-43152676
24,0,35,29,1,3,412729-412720-43152676
33,0,80,14,1,3,412729-412720-43152676
28,0,30,179,0,3,412729-412720-43152676
34,0,50,30,1,3,412729-412720-43152676
25,0,30,80,0,3,412729-412720-43152676
41,0,75,20,1,3,412729-412720-43152676
54,0,60,111,0,3,412729-412720-43152676
54,0,80,30,1,3,412729-412720-43152676
22,0,25,136,0,3,412729-412720-43152676
20,0,55,7,1,3,412729-412720-43152676
54,0,55,117,0,4,412729-412720-42950409
55,0,75,61,1,4,412729-412720-42950409
19,0,25,53,1,4,412729-412720-42950409
31,0,85,7,1,4,412729-412720-42950409
14,0,25,19,1,4,412729-412720-42950409
47,0,50,160,0,4,412729-412720-42950409
15,0,35,13,1,4,412729-412720-42950409
25,0,60,14,1,4,412729-412720-42950409
78,0,80,162,0,4,412729-412720-42950409
40,0,55,62,1,4,412729-412720-42950409
11,0,30,7,1,4,412729-412720-42950409
67,0,75,119,0,4,412729-412720-42950409
34,0,35,186,0,4,412729-412720-42950409
27,0,50,21,1,4,412729-412720-42950409
69,0,85,91,1,4,412729-412720-42950409
49,0,60,89,1,4,412729-412720-42950409
80,0,85,157,0,4,412729-412720-42950409
24,0,35,29,1,4,412729-412720-42950409
33,0,80,14,1,4,412729-412720-42950409
28,0,30,179,0,4,412729-412720-42950409
34,0,50,30,1,4,412729-412720-42950409
25,0,30,80,1,4,412729-412720-42950409
41,0,75,20,1,4,412729-412720-42950409
54,0,60,111,1,4,412729-412720-42950409
54,0,80,30,1,4,412729-412720-42950409
22,0,25,136,0,4,412729-412720-42950409
20,0,55,7,1,4,412729-412720-42950409
54,0,55,117,0,5,412729-412720-42945109
55,0,75,61,0,5,412729-412720-42945109
19,0,25,53,0,5,412729-412720-42945109
31,0,85,7,1,5,412729-412720-42945109
14,0,25,19,0,5,412729-412720-42945109
47,0,50,160,0,5,412729-412720-42945109
15,0,35,13,1,5,412729-412720-42945109
25,0,60,14,1,5,412729-412720-42945109
78,0,80,162,0,5,412729-412720-42945109
40,0,55,62,0,5,412729-412720-42945109
11,0,30,7,1,5,412729-412720-42945109
67,0,75,119,0,5,412729-412720-42945109
34,0,35,186,0,5,412729-412720-42945109
27,0,50,21,1,5,412729-412720-42945109
69,0,85,91,0,5,412729-412720-42945109
49,0,60,89,0,5,412729-412720-42945109
80,0,85,157,0,5,412729-412720-42945109
24,0,35,29,1,5,412729-412720-42945109
33,0,80,14,1,5,412729-412720-42945109
28,0,30,179,0,5,412729-412720-42945109
34,0,50,30,1,5,412729-412720-42945109
25,0,30,80,0,5,412729-412720-42945109
41,0,75,20,1,5,412729-412720-42945109
54,0,60,111,0,5,412729-412720-42945109
54,0,80,30,1,5,412729-412720-42945109
22,0,25,136,0,5,412729-412720-42945109
20,0,55,7,1,5,412729-412720-42945109
54,0,55,117,0,6,412729-412720-43150472
55,0,75,61,1,6,412729-412720-43150472
19,0,25,53,1,6,412729-412720-43150472
31,0,85,7,1,6,412729-412720-43150472
14,0,25,19,1,6,412729-412720-43150472
47,0,50,160,0,6,412729-412720-43150472
15,0,35,13,1,6,412729-412720-43150472
25,0,60,14,1,6,412729-412720-43150472
78,0,80,162,0,6,412729-412720-43150472
40,0,55,62,1,6,412729-412720-43150472
11,0,30,7,1,6,412729-412720-43150472
67,0,75,119,1,6,412729-412720-43150472
34,0,35,186,0,6,412729-412720-43150472
27,0,50,21,1,6,412729-412720-43150472
69,0,85,91,1,6,412729-412720-43150472
49,0,60,89,1,6,412729-412720-43150472
80,0,85,157,1,6,412729-412720-43150472
24,0,35,29,1,6,412729-412720-43150472
33,0,80,14,1,6,412729-412720-43150472
28,0,30,179,0,6,412729-412720-43150472
34,0,50,30,1,6,412729-412720-43150472
25,0,30,80,1,6,412729-412720-43150472
41,0,75,20,1,6,412729-412720-43150472
54,0,60,111,1,6,412729-412720-43150472
54,0,80,30,1,6,412729-412720-43150472
22,0,25,136,0,6,412729-412720-43150472
20,0,55,7,1,6,412729-412720-43150472
54,0,55,117,0,7,412729-412720-42949498
55,0,75,61,1,7,412729-412720-42949498
19,0,25,53,0,7,412729-412720-42949498
31,0,85,7,1,7,412729-412720-42949498
14,0,25,19,1,7,412729-412720-42949498
47,0,50,160,0,7,412729-412720-42949498
15,0,35,13,1,7,412729-412720-42949498
25,0,60,14,1,7,412729-412720-42949498
78,0,80,162,0,7,412729-412720-42949498
40,0,55,62,1,7,412729-412720-42949498
11,0,30,7,1,7,412729-412720-42949498
67,0,75,119,0,7,412729-412720-42949498
34,0,35,186,0,7,412729-412720-42949498
27,0,50,21,1,7,412729-412720-42949498
69,0,85,91,1,7,412729-412720-42949498
49,0,60,89,1,7,412729-412720-42949498
80,0,85,157,0,7,412729-412720-42949498
24,0,35,29,1,7,412729-412720-42949498
33,0,80,14,1,7,412729-412720-42949498
28,0,30,179,0,7,412729-412720-42949498
34,0,50,30,1,7,412729-412720-42949498
25,0,30,80,0,7,412729-412720-42949498
41,0,75,20,1,7,412729-412720-42949498
54,0,60,111,0,7,412729-412720-42949498
54,0,80,30,1,7,412729-412720-42949498
22,0,25,136,0,7,412729-412720-42949498
20,0,55,7,1,7,412729-412720-42949498
54,0,55,117,0,8,412729-412720-43030951
