id,participant_number,logk_money,mcq_percent_predicted
0,412729-412720-42950469,-3.702399810381926,1.0
1,412729-412720-42978122,-6.826825081029008,0.9629629629629629
2,412729-412720-42947943,-6.826817715576054,0.9629629629629629
3,412729-412720-43152676,-5.241801993609549,0.9629629629629629
4,412729-412720-42950409,-6.774210324962391,0.9629629629629629
5,412729-412720-42945109,-4.633949816203374,0.9629629629629629
6,412729-412720-43150472,-7.517661785616019,0.9259259259259259
7,412729-412720-42949498,-6.16010576352368,0.9259259259259259
8,412729-412720-43030951,-6.949804685424553,0.8888888888888888
9,412729-412720-42623126,-4.538250581287488,0.9259259259259259
10,412729-412720-43236744,-2.485180150840036,0.9629629629629629
11,412729-412720-43159156,-6.155836147522188,0.9259259259259259
12,412729-412720-42947408,-4.993694293649333,0.9629629629629629
13,412729-412720-42849261,-5.540774523995624,0.9259259259259259
14,412729-412720-43185971,-2.4893044300960727,0.9629629629629629
15,412729-412720-42728009,-3.7122197126956573,0.8888888888888888
16,412729-412720-43159566,-6.416311308607425,0.8888888888888888
17,412729-412720-42643280,-3.393874967454439,0.9629629629629629
18,412729-412720-42623443,-2.8818667656157366,0.8888888888888888
19,412729-412720-42622623,-6.829615316840121,0.9629629629629629
20,412729-412720-42304519,-6.827524757840303,0.9629629629629629
21,412729-412720-42306598,-5.897491853449013,0.8888888888888888
22,412729-412720-42629482,-5.014071985569688,0.9259259259259259
23,412729-412720-42622201,-4.556745951030926,0.9259259259259259
24,412729-412720-42987263,-6.404902155427187,1.0
25,412729-412720-42624415,-2.777425128587395,0.9629629629629629
26,412729-412720-42947713,-4.844048383957599,0.8148148148148148
27,412729-412720-42623563,-3.141653453808434,0.9259259259259259
28,412729-412720-42946175,-5.5374882714119575,0.8888888888888888
29,412729-412720-42891387,-3.70262086247961,0.9629629629629629
30,412729-412720-43156334,-5.986432727448731,0.8888888888888888
31,412729-412720-42642917,-4.637393495077663,1.0
32,412729-412720-42635216,-2.880376184718233,0.8888888888888888
33,412729-412720-42986526,-5.597210610415726,0.9259259259259259
34,412729-412720-42306236,-4.3362253137044995,0.9259259259259259
35,412729-412720-42980254,-3.1231355829172913,0.9629629629629629
36,412729-412720-42950043,-5.524849581263956,0.9259259259259259
37,412729-412720-42628149,-8.738662993412111,0.7777777777777778
38,412729-412720-42944644,-4.99724787057535,0.9629629629629629
39,412729-412720-42947709,-6.403526085767776,1.0
40,412729-412720-42950660,-5.972110412325357,0.7777777777777778
41,412729-412720-42623565,-3.6685287735743084,0.8888888888888888
42,412729-412720-43151866,-4.069446486500582,0.9259259259259259
43,412729-412720-42984347,-4.934126518042636,0.9629629629629629
44,412729-412720-42623539,-4.31466861515078,0.9629629629629629
45,412729-412720-42950919,-6.186241968882196,0.9629629629629629
46,412729-412720-42949233,-6.828656496416182,0.9629629629629629
47,412729-412720-42304296,-7.303737453107198,0.8888888888888888
48,412729-412720-42949928,-6.8021853019924094,0.8518518518518519
49,412729-412720-43151457,-4.058900347856077,0.9259259259259259
50,412729-412720-42950308,-4.297892950367299,0.8888888888888888
51,412729-412720-42947866,-5.528126268485093,0.9259259259259259
52,412729-412720-42308196,-5.240916345697143,0.9629629629629629
53,412729-412720-42643900,-6.18851166461339,0.9629629629629629
54,412729-412720-42959400,-5.887119447832383,0.8888888888888888
55,412729-412720-43154505,-9.009921665338782,0.9259259259259259
56,412729-412720-42950022,-3.09143378019332,0.8888888888888888
57,412729-412720-42628400,-5.0101047521828965,0.8518518518518519
58,412729-412720-43236625,-3.1871589156729936,0.8888888888888888
59,412729-412720-42948962,-5.5438375930936825,0.9259259259259259
60,412729-412720-42623062,-4.0623930146731695,0.9259259259259259
61,412729-412720-42304493,-7.529856823539633,0.9259259259259259
62,412729-412720-42945907,-6.457092295465358,0.9259259259259259
