RA,DA,RB,DB,R,id,participant_number
2.4,0,2.5,117,0.0,0,412729-412720-42950469
2.5,0,3.4,61,0.0,0,412729-412720-42950469
0.8,0,1.1,53,0.0,0,412729-412720-42950469
1.4,0,3.9,7,1.0,0,412729-412720-42950469
0.6,0,1.1,19,1.0,0,412729-412720-42950469
2.1,0,2.3,160,0.0,0,412729-412720-42950469
0.7,0,1.6,13,1.0,0,412729-412720-42950469
2.5,0,2.7,14,0.0,0,412729-412720-42950469
1.1,0,3.6,162,0.0,0,412729-412720-42950469
1.8,0,2.5,62,0.0,0,412729-412720-42950469
0.5,0,1.4,7,1.0,0,412729-412720-42950469
3.0,0,3.4,119,0.0,0,412729-412720-42950469
1.5,0,1.6,186,0.0,0,412729-412720-42950469
1.2,0,2.2,21,0.0,0,412729-412720-42950469
3.1,0,3.9,91,0.0,0,412729-412720-42950469
2.2,0,2.7,89,0.0,0,412729-412720-42950469
3.6,0,3.9,157,0.0,0,412729-412720-42950469
1.0,0,1.6,29,0.0,0,412729-412720-42950469
1.5,0,3.6,14,1.0,0,412729-412720-42950469
1.3,0,1.4,179,0.0,0,412729-412720-42950469
1.5,0,2.3,30,0.0,0,412729-412720-42950469
1.1,0,1.4,80,0.0,0,412729-412720-42950469
1.9,0,3.4,20,0.0,0,412729-412720-42950469
2.4,0,2.7,111,0.0,0,412729-412720-42950469
2.4,0,3.6,30,0.0,0,412729-412720-42950469
1.0,0,1.1,136,0.0,0,412729-412720-42950469
0.9,0,2.5,7,1.0,0,412729-412720-42950469
2.4,0,2.5,117,0.0,1,412729-412720-42978122
2.5,0,3.4,61,0.0,1,412729-412720-42978122
0.8,0,1.1,53,0.0,1,412729-412720-42978122
1.4,0,3.9,7,0.0,1,412729-412720-42978122
0.6,0,1.1,19,1.0,1,412729-412720-42978122
2.1,0,2.3,160,0.0,1,412729-412720-42978122
0.7,0,1.6,13,1.0,1,412729-412720-42978122
2.5,0,2.7,14,0.0,1,412729-412720-42978122
1.1,0,3.6,162,0.0,1,412729-412720-42978122
1.8,0,2.5,62,0.0,1,412729-412720-42978122
0.5,0,1.4,7,1.0,1,412729-412720-42978122
3.0,0,3.4,119,0.0,1,412729-412720-42978122
1.5,0,1.6,186,0.0,1,412729-412720-42978122
1.2,0,2.2,21,0.0,1,412729-412720-42978122
3.1,0,3.9,91,0.0,1,412729-412720-42978122
2.2,0,2.7,89,0.0,1,412729-412720-42978122
3.6,0,3.9,157,0.0,1,412729-412720-42978122
1.0,0,1.6,29,0.0,1,412729-412720-42978122
1.5,0,3.6,14,1.0,1,412729-412720-42978122
1.3,0,1.4,179,0.0,1,412729-412720-42978122
1.5,0,2.3,30,0.0,1,412729-412720-42978122
1.1,0,1.4,80,0.0,1,412729-412720-42978122
1.9,0,3.4,20,1.0,1,412729-412720-42978122
2.4,0,2.7,111,0.0,1,412729-412720-42978122
2.4,0,3.6,30,0.0,1,412729-412720-42978122
1.0,0,1.1,136,0.0,1,412729-412720-42978122
0.9,0,2.5,7,1.0,1,412729-412720-42978122
2.4,0,2.5,117,0.0,2,412729-412720-42947943
2.5,0,3.4,61,0.0,2,412729-412720-42947943
0.8,0,1.1,53,0.0,2,412729-412720-42947943
1.4,0,3.9,7,0.0,2,412729-412720-42947943
0.6,0,1.1,19,0.0,2,412729-412720-42947943
2.1,0,2.3,160,0.0,2,412729-412720-42947943
0.7,0,1.6,13,0.0,2,412729-412720-42947943
2.5,0,2.7,14,0.0,2,412729-412720-42947943
1.1,0,3.6,162,0.0,2,412729-412720-42947943
1.8,0,2.5,62,0.0,2,412729-412720-42947943
0.5,0,1.4,7,0.0,2,412729-412720-42947943
3.0,0,3.4,119,0.0,2,412729-412720-42947943
1.5,0,1.6,186,0.0,2,412729-412720-42947943
1.2,0,2.2,21,0.0,2,412729-412720-42947943
3.1,0,3.9,91,0.0,2,412729-412720-42947943
2.2,0,2.7,89,0.0,2,412729-412720-42947943
3.6,0,3.9,157,0.0,2,412729-412720-42947943
1.0,0,1.6,29,0.0,2,412729-412720-42947943
1.5,0,3.6,14,0.0,2,412729-412720-42947943
1.3,0,1.4,179,0.0,2,412729-412720-42947943
1.5,0,2.3,30,0.0,2,412729-412720-42947943
1.1,0,1.4,80,0.0,2,412729-412720-42947943
1.9,0,3.4,20,0.0,2,412729-412720-42947943
2.4,0,2.7,111,0.0,2,412729-412720-42947943
2.4,0,3.6,30,0.0,2,412729-412720-42947943
1.0,0,1.1,136,0.0,2,412729-412720-42947943
0.9,0,2.5,7,0.0,2,412729-412720-42947943
2.4,0,2.5,117,0.0,3,412729-412720-43152676
2.5,0,3.4,61,1.0,3,412729-412720-43152676
0.8,0,1.1,53,1.0,3,412729-412720-43152676
