id,participant_number,logk_weight,wcq_percent_predicted
0,412729-412720-42950469,-2.754500122987466,0.9629629629629629
1,412729-412720-42978122,-2.7603805117177993,0.8888888888888888
2,412729-412720-42947943,-0.7264729774521361,1.0
3,412729-412720-43152676,-5.402992095349276,0.9629629629629629
4,412729-412720-42950409,-5.13089922323248,0.9629629629629629
5,412729-412720-42945109,-3.9362324982240127,0.8888888888888888
6,412729-412720-43150472,-5.2659528014335395,0.8518518518518519
7,412729-412720-42949498,-4.689382783935242,0.8518518518518519
8,412729-412720-43030951,-3.2128849424383743,0.6296296296296297
9,412729-412720-42623126,-3.760018540884731,0.8518518518518519
10,412729-412720-43236744,-3.0162035978873787,0.9629629629629629
11,412729-412720-43159156,-3.713006160908683,0.8888888888888888
12,412729-412720-42947408,-4.169361388329259,0.9259259259259259
13,412729-412720-42849261,-4.709753070422914,0.9629629629629629
14,412729-412720-43185971,-4.020284904450518,0.8148148148148148
15,412729-412720-42728009,-4.1448034512168155,0.8888888888888888
16,412729-412720-43159566,-7.7034141186617395,0.8888888888888888
17,412729-412720-42643280,-2.628518131713985,1.0
18,412729-412720-42623443,-3.7751226421792774,0.8888888888888888
19,412729-412720-42622623,-7.692767510072323,0.8518518518518519
20,412729-412720-42304519,-5.433352322438832,0.9259259259259259
21,412729-412720-42306598,-3.8467354603640205,0.8888888888888888
22,412729-412720-42629482,-3.387896813993296,0.9259259259259259
23,412729-412720-42622201,-2.762842737892391,0.8888888888888888
24,412729-412720-42987263,-2.762590297329737,0.7407407407407407
25,412729-412720-42624415,-4.259602193759033,0.7407407407407407
26,412729-412720-42947713,-3.599788495700758,0.9629629629629629
27,412729-412720-42623563,-4.727077559885136,0.9259259259259259
28,412729-412720-42946175,-3.936503221723783,0.8888888888888888
29,412729-412720-42891387,-3.9983142821826494,0.8888888888888888
30,412729-412720-43156334,-4.171539702196985,0.9259259259259259
31,412729-412720-42642917,-0.7365546015856376,0.9629629629629629
32,412729-412720-42635216,-4.887005555356835,0.8888888888888888
33,412729-412720-42986526,-3.972712715822329,0.7777777777777778
34,412729-412720-42306236,-7.692418859793248,0.8888888888888888
35,412729-412720-42980254,-4.631066129566869,0.8888888888888888
36,412729-412720-42950043,-5.3595063825525955,0.8888888888888888
37,412729-412720-42628149,-2.366818865124768,0.8888888888888888
38,412729-412720-42944644,-5.217548814089614,0.8148148148148148
39,412729-412720-42947709,-3.8804575203199274,0.8148148148148148
40,412729-412720-42950660,-3.929214186716816,0.7407407407407407
41,412729-412720-42623565,-3.3602621659462075,0.9259259259259259
42,412729-412720-43151866,-3.3652613832380274,0.8518518518518519
43,412729-412720-42984347,-3.2558145581978004,0.9629629629629629
44,412729-412720-42623539,-2.827465942360004,0.9259259259259259
45,412729-412720-42950919,-5.523062890686256,0.9629629629629629
46,412729-412720-42949233,-2.3021608552731156,0.7777777777777778
47,412729-412720-42304296,-3.0118460960221625,0.9629629629629629
48,412729-412720-42949928,-5.578011774485109,0.8888888888888888
49,412729-412720-43151457,-5.43864141802513,0.9259259259259259
50,412729-412720-42950308,-4.073054733991219,0.9629629629629629
51,412729-412720-42947866,-7.669505380564385,0.8148148148148148
52,412729-412720-42308196,-4.296780671844761,0.7777777777777778
53,412729-412720-42643900,-4.947159252672945,0.9259259259259259
54,412729-412720-42959400,-4.810210027952669,0.9259259259259259
55,412729-412720-43154505,-4.004977742946827,0.7777777777777778
56,412729-412720-42950022,-7.2102889841389715,0.7037037037037037
57,412729-412720-42628400,-4.843839855115719,0.8888888888888888
58,412729-412720-43236625,-2.427918572201137,0.9629629629629629
59,412729-412720-42948962,-6.853785437103464,0.8148148148148148
60,412729-412720-42623062,-3.966727796765112,0.8888888888888888
61,412729-412720-42304493,-7.311343462744929,0.9259259259259259
62,412729-412720-42945907,-3.8248264919365083,0.7777777777777778
63,412729-412720-42945002,-3.3649206762864576,1.0
64,412729-412720-43153231,-3.5749989687587114,0.8518518518518519
65,412729-412720-42949696,-4.228625914713341,0.9259259259259259
66,412729-412720-43165897,-7.709942208155627,0.8888888888888888
67,412729-412720-42756506,-4.514615369676477,0.8518518518518519
68,412729-412720-42717810,-3.933901060861889,0.8888888888888888
69,412729-412720-42304456,-4.588988620906204,0.9259259259259259
70,412729-412720-42945653,-7.5432148595192485,0.8518518518518519
71,412729-412720-43153582,-3.4399974274490437,0.9259259259259259
72,412729-412720-42625365,-3.020546407216776,0.9629629629629629
73,412729-412720-43163559,-7.689630650513917,0.8518518518518519
74,412729-412720-43248567,-6.048940418507232,0.7777777777777778
75,412729-412720-42507670,-3.013610928617183,0.7037037037037037
76,412729-412720-42686006,-5.447158011254294,0.9259259259259259
77,412729-412720-42950073,-7.699615582794113,0.8888888888888888
78,412729-412720-42949635,-0.7236786073196717,1.0
79,412729-412720-42949456,-2.6196293923933243,1.0
80,412729-412720-42681046,-4.720583637896387,0.8888888888888888
81,412729-412720-42624084,-5.8402570791068085,0.8888888888888888
82,412729-412720-42622013,-2.8568869720270373,0.8888888888888888
83,412729-412720-43152460,-4.5966219411040505,0.8888888888888888
84,412729-412720-42622703,-4.425089179272014,0.8888888888888888
85,412729-412720-43161832,-1.9767660149224038,1.0
86,412729-412720-42305849,-5.361897930378205,0.8888888888888888
87,412729-412720-43154796,-4.244801493911791,0.8518518518518519
88,412729-412720-42311343,-3.2643744440835625,0.8888888888888888
89,412729-412720-43151590,-4.834528788250886,0.8888888888888888
90,412729-412720-42954814,-7.699105613773677,0.8888888888888888
91,412729-412720-43154559,-1.9738833972021717,1.0
92,412729-412720-42641322,-2.830594939121614,0.9259259259259259
93,412729-412720-42647991,-3.4623376936140553,0.8518518518518519
94,412729-412720-42942993,-3.2591118775100223,0.9629629629629629
95,412729-412720-42687183,-4.653549830962009,0.8148148148148148
96,412729-412720-42852632,-4.248259426234728,0.8888888888888888
97,412729-412720-43153575,-3.3617312390807963,1.0
98,412729-412720-42622953,-4.233653055698655,0.8888888888888888
99,412729-412720-43237751,-3.013802357394526,0.9629629629629629
100,412729-412720-43103442,-4.047287432709952,0.8888888888888888
101,412729-412720-42945049,-4.4615451389537055,0.8518518518518519
102,412729-412720-42289584,-3.84969936177209,0.8888888888888888
103,412729-412720-42949758,-4.165860072746613,0.9629629629629629
104,412729-412720-42949781,-7.702115191427239,0.8888888888888888
105,412729-412720-42945339,-3.3688450788045143,1.0
106,412729-412720-42770960,-3.851827040337641,0.8888888888888888
107,412729-412720-42945389,-4.309199500283047,0.8888888888888888
108,412729-412720-43152712,-3.3683595144153315,1.0
109,412729-412720-42946803,-5.353516640278251,0.8888888888888888
110,412729-412720-42656205,-4.835991851046041,0.8888888888888888
111,412729-412720-42987809,-3.7232028214540316,0.9629629629629629
112,412729-412720-42648037,-4.487267850966871,0.8518518518518519
113,412729-412720-42507845,-3.5090156707750935,0.9259259259259259
114,412729-412720-42624365,-5.419991969783468,0.9259259259259259
115,412729-412720-42949087,-4.298126526676355,0.9259259259259259
116,412729-412720-43154407,-3.7251995717488935,0.9629629629629629
117,412729-412720-42632848,-6.715227850268381,0.7777777777777778
118,412729-412720-42536741,-5.355028707553234,0.8888888888888888
